ROI,ATP7A,ATP7B,CDKN2A,COPS5,DBT,DLAT,DLD,DLST,FDX1,GCSH,GLS,LIAS,LIPT1,LIPT2,MTF1,NFE2L2,NLRP3,PDHA1,PDHB,SLC31A1
PanCK_2,2.691408087,10.76563235,5.382816174,2.691408087,2.691408087,5.382816174,8.07422426,13.45704043,2.691408087,2.691408087,8.07422426,8.07422426,8.07422426,2.691408087,10.76563235,21.53126469,8.07422426,26.91408087,10.76563235,5.382816174
PanCK_3,2.99045343,1.495226715,10.466587,16.44749386,4.485680145,5.980906859,31.39976101,11.96181372,14.95226715,2.99045343,40.3711213,7.476133574,8.971360289,1.495226715,11.96181372,14.95226715,5.980906859,16.44749386,8.971360289,22.42840072
PanCK_7,4.485680145,7.476133574,2.99045343,7.476133574,10.466587,10.466587,23.92362744,14.95226715,8.971360289,1.495226715,19.43794729,14.95226715,2.99045343,1.495226715,7.476133574,26.91408087,2.99045343,17.94272058,14.95226715,16.44749386
PanCK_9,7.569585244,3.364260108,1.682130054,20.18556065,5.046390163,9.251715298,37.00686119,13.45704043,11.77491038,1.682130054,36.16579617,12.61597541,3.364260108,2.523195081,9.251715298,14.29810546,1.682130054,21.02662568,15.98023552,13.45704043
PanCK_11,8.410650271,5.046390163,1.682130054,15.13917049,3.364260108,25.23195081,33.64260108,16.82130054,3.364260108,3.364260108,37.00686119,5.046390163,10.09278033,1.682130054,16.82130054,26.91408087,6.728520217,18.5034306,16.82130054,11.77491038
PanCK_13,10.76563235,2.691408087,10.76563235,5.382816174,8.07422426,21.53126469,8.07422426,18.83985661,10.76563235,13.45704043,43.06252939,10.76563235,2.691408087,2.691408087,10.76563235,10.76563235,5.382816174,16.14844852,10.76563235,8.07422426
PanCK_16,11.53460609,5.767303043,7.689737391,3.844868695,3.844868695,17.30190913,38.44868695,13.45704043,7.689737391,5.767303043,23.06921217,5.767303043,5.767303043,3.844868695,7.689737391,11.53460609,1.922434348,13.45704043,9.612171738,9.612171738
PanCK_18,7.974542479,9.469769194,2.492044525,19.43794729,5.482497955,9.469769194,24.42203634,9.968178099,6.479315764,3.488862335,22.92680963,8.971360289,6.977724669,2.492044525,10.96499591,21.92999182,5.980906859,20.93317401,7.974542479,10.96499591
PanCK_19,2.691408087,13.45704043,2.691408087,24.22267278,2.691408087,10.76563235,34.98830513,8.07422426,2.691408087,10.76563235,24.22267278,5.382816174,5.382816174,5.382816174,13.45704043,13.45704043,8.07422426,13.45704043,10.76563235,10.76563235
PanCK_21,13.45704043,5.382816174,4.03711213,16.14844852,5.382816174,2.691408087,29.60548895,25.56837682,5.382816174,1.345704043,29.60548895,10.76563235,5.382816174,4.03711213,12.11133639,36.33400917,4.03711213,17.49415256,8.07422426,18.83985661
PanCK_23,4.485680145,5.980906859,2.242840072,15.69988051,11.96181372,14.20465379,21.68078737,14.95226715,2.242840072,4.485680145,14.95226715,8.971360289,5.980906859,5.233293502,7.476133574,26.16646751,7.476133574,14.95226715,11.21420036,16.44749386
PanCK_25,10.466587,1.495226715,4.485680145,10.466587,11.96181372,19.43794729,37.38066787,10.466587,16.44749386,1.495226715,19.43794729,7.476133574,7.476133574,2.99045343,5.980906859,32.89498773,4.485680145,17.94272058,7.476133574,7.476133574
PanCK_27,13.45704043,9.612171738,11.53460609,11.53460609,5.767303043,7.689737391,30.75894956,11.53460609,3.844868695,1.922434348,23.06921217,7.689737391,11.53460609,1.922434348,11.53460609,49.98329304,11.53460609,19.22434348,11.53460609,5.767303043
PanCK_29,10.76563235,12.11133639,10.76563235,16.14844852,9.419928304,13.45704043,18.83985661,13.45704043,5.382816174,5.382816174,14.80274448,8.07422426,9.419928304,4.03711213,12.11133639,30.951193,6.728520217,12.11133639,12.11133639,10.76563235
PanCK_31,11.96181372,5.980906859,4.485680145,13.45704043,4.485680145,13.45704043,14.95226715,8.971360289,5.980906859,5.980906859,31.39976101,4.485680145,5.980906859,2.99045343,17.94272058,10.466587,4.485680145,14.95226715,14.95226715,7.476133574
PanCK_34,2.691408087,8.07422426,2.691408087,18.83985661,5.382816174,8.07422426,18.83985661,21.53126469,13.45704043,10.76563235,16.14844852,5.382816174,10.76563235,2.691408087,16.14844852,13.45704043,13.45704043,16.14844852,13.45704043,26.91408087
PanCK_35,16.82130054,3.364260108,3.364260108,13.45704043,3.364260108,10.09278033,30.27834098,30.27834098,10.09278033,3.364260108,30.27834098,10.09278033,3.364260108,3.364260108,6.728520217,37.00686119,3.364260108,13.45704043,10.09278033,10.09278033
PanCK_38,5.046390163,10.09278033,3.364260108,6.728520217,10.09278033,13.45704043,23.54982076,8.410650271,6.728520217,1.682130054,33.64260108,11.77491038,3.364260108,1.682130054,6.728520217,25.23195081,3.364260108,25.23195081,6.728520217,20.18556065
PanCK_39,7.340203873,3.670101936,2.446734624,20.79724431,6.116836561,11.01030581,28.13744818,9.786938497,11.01030581,2.446734624,46.48795786,8.563571185,2.446734624,1.223367312,7.340203873,29.36081549,4.893469249,24.46734624,13.45704043,9.786938497
PanCK_41,7.637779706,9.092594888,6.546668319,20.73111634,5.091853137,14.54815182,22.91333912,12.36592905,12.36592905,4.364445546,13.09333664,8.728891092,6.546668319,2.909630364,8.728891092,23.64074671,5.091853137,20.36741255,11.63852146,10.54741007
PanCK_44,6.210941739,11.38672652,6.210941739,11.38672652,5.175784782,11.38672652,22.77345304,12.42188348,2.070313913,5.175784782,9.316412608,11.38672652,5.175784782,2.070313913,7.246098695,10.35156956,3.105470869,12.42188348,8.281255652,8.281255652
PanCK_46,9.868496318,6.279952202,3.588544116,9.868496318,6.279952202,6.279952202,13.45704043,21.53126469,8.07422426,7.177088231,19.73699264,4.485680145,4.485680145,4.485680145,8.07422426,23.32553675,5.382816174,15.25131249,8.07422426,22.42840072
PanCK_47,6.728520217,8.223746932,2.242840072,8.971360289,3.738066787,8.223746932,24.6712408,14.20465379,11.96181372,5.980906859,40.3711213,7.476133574,6.728520217,6.728520217,14.95226715,22.42840072,2.99045343,19.43794729,8.971360289,11.21420036
